gold_version,case_id,left_source,right_source,comparison_scope,family,finding_type,expected_disposition,label_status,labeler,reviewer,source_status,review_note
v0.2,C01,HD-01 Điều 3: giao lô X 10/10/2026,HD-01 Điều 8: giao cùng lô X 12/10/2026,within_document,structured,date_difference,comparable_difference,proposed,Trần Văn Dũng,,synthetic_catalog,Chờ reviewer xác nhận; chưa bind OCR/PDF
v0.2,C02,HD-01 Điều 2: DV-A 1.000.000 VND/lần từ 01/09/2026,PL-01 sửa Điều 2 HD-01: DV-A 1.500.000 VND/lần từ 01/10/2026,contract_annex,structured,price_difference,candidate_amendment,proposed,Trần Văn Dũng,,synthetic_catalog,Chờ reviewer xác nhận; chưa bind OCR/PDF
v0.2,C03,HD-01: lô X gồm 10 bộ tháng 10/2026,PL-01: cùng lô X gồm 12 bộ tháng 10/2026,contract_annex,structured,quantity_difference,comparable_difference,proposed,Trần Văn Dũng,,synthetic_catalog,Chờ reviewer xác nhận; chưa bind OCR/PDF
v0.2,C04,Bên A phải giao lô X cho Bên B ngày 10/10/2026,Bên A không được giao lô X cho Bên B ngày 10/10/2026,contract_annex,semantic,semantic_polarity_candidate,comparable_difference,proposed,Trần Văn Dũng,,synthetic_catalog,Chờ reviewer xác nhận; chưa bind OCR/PDF
v0.2,C05,PL-01: giao lô Y 5 ngày lịch từ 01/10/2026,PL-02: giao lô Y 7 ngày lịch từ 01/10/2026,annex_annex,structured,duration_difference,comparable_difference,proposed,Trần Văn Dũng,,synthetic_catalog,Chờ reviewer xác nhận; chưa bind OCR/PDF
v0.2,C06,PL-01 HD-01: Bên A là Công ty Minh An,PL-02 HD-01: Bên A là Công ty Minh Bình,annex_annex,structured,party_difference,comparable_difference,proposed,Trần Văn Dũng,,synthetic_catalog,Chờ reviewer xác nhận; chưa bind OCR/PDF
v0.2,C07,PL-01: MST Bên A 0100000001,PL-02: MST Bên A 0100000002,annex_annex,structured,tax_code_difference,comparable_difference,proposed,Trần Văn Dũng,,synthetic_catalog,Chờ reviewer xác nhận; chưa bind OCR/PDF
v0.2,C08,PL-01: tham chiếu HD-01,PL-02: tham chiếu HD-02,annex_annex,structured,referenced_contract_number_difference,comparable_difference,proposed,Trần Văn Dũng,,synthetic_catalog,Chờ reviewer xác nhận; chưa bind OCR/PDF
v0.2,C09,HD-01: DV-B 1.000.000 VND/lần chưa VAT tháng 10/2026,PL-01: DV-B 1000000 VND/lần chưa VAT tháng 10/2026,contract_annex,structured,price_difference,comparable_match,proposed,Trần Văn Dũng,,synthetic_catalog,Chờ reviewer xác nhận; chưa bind OCR/PDF
v0.2,C10,HD-01: đơn giá DV-C 100 VND/lần,PL-01: tổng giá DV-C 1.000 VND cho 10 lần,contract_annex,structured,price_difference,not_comparable,proposed,Trần Văn Dũng,,synthetic_catalog,Chờ reviewer xác nhận; khác business role
v0.2,C11,HD-01: giao 10 bộ lô Z tại Hà Nội tháng 10/2026,PL-01: giao 12 bộ lô Z tại Đà Nẵng tháng 10/2026,contract_annex,structured,quantity_difference,not_comparable,proposed,Trần Văn Dũng,,synthetic_catalog,Chờ reviewer xác nhận; khác applicability scope
v0.2,C12,PL-01: lịch giao tháng 9/2026 ngày 10/09/2026,PL-02: lịch giao tháng 10/2026 ngày 12/10/2026,annex_annex,structured,date_difference,not_comparable,proposed,Trần Văn Dũng,,synthetic_catalog,Chờ reviewer xác nhận; validity không giao nhau
v0.2,C13,HD-01: đơn giá DV-D 100 VND/lần,PL-01: đơn giá DV-D không đọc được VND/lần,contract_annex,structured,price_difference,insufficient_evidence,proposed,Trần Văn Dũng,,synthetic_catalog,Chờ reviewer xác nhận; giá trị phải giữ null khi bind
v0.2,C14,Bên A phải giao lô X cho Bên B ngày 10/10/2026,Bên B không được yêu cầu giao lô X ngày 10/10/2026,contract_annex,semantic,semantic_polarity_candidate,not_comparable,proposed,Trần Văn Dũng,,synthetic_catalog,Chờ reviewer xác nhận; khác chủ thể và hành động
v0.2,C15,Bên A phải giao lô X cho Bên B ngày 10/10/2026,Bên A không được giao lô X cho Bên B ngày 10/10/2026 trừ Điều 9 chưa có,contract_annex,semantic,semantic_polarity_candidate,insufficient_evidence,proposed,Trần Văn Dũng,,synthetic_catalog,Chờ reviewer xác nhận; thiếu nguồn ngoại lệ
